15.58 0.000
20 0.327
25 0.825
30 1.242
35 1.565
40 1.812
45 2.008
50 2.165
55 2.287
60 2.381
65 2.453
70 2.508
75 2.548
80 2.577
85 2.597
90 2.609
95 2.615
100 2.615
105 2.612
110 2.605
115 2.595
120 2.583
125 2.569
130 2.553
135 2.536
140 2.518
145 2.499
150 2.480
155 2.460
160 2.440
165 2.419
170 2.399
175 2.378
180 2.357
185 2.336
190 2.315
195 2.294
200 2.273
300 1.906
400 1.632
500 1.428
600 1.270
700 1.145
800 1.043
900 0.959
1000 0.888
1100 0.828
1200 0.776
1300 0.730
1400 0.690
1500 0.654
1600 0.622
1700 0.593
1800 0.567
1900 0.543
