8.165 50 0
10 0.007E-16
10.5 0.008E-16
11 0.019E-16
11.5 0.037E-16
12 0.058E-16
12.5 0.082E-16
13 0.105E-16
13.5 0.125E-16
14 0.143E-16
14.5 0.155E-16
15 0.163E-16
15.5 0.165E-16
16 0.162E-16
16.5 0.153E-16
17 0.140E-16
17.5 0.124E-16
18 0.110E-16
18.5 0.101E-16
19 0.093E-16
19.5 0.086E-16
20 0.080E-16
25 0.041E-16
30 0.024E-16
35 0.015E-16
40 0.010E-16
40.5 0.007E-16
50 0.005E-16
